epoch,k,seed,train_loss,test_loss,test_acc,epoch_time_sec,total_batches,optimizer_steps_this_epoch,comm_rounds
0,8,42,4.207274086621343,8.769981245422363,0.1258,30.337449312210083,98,13,13
1,8,42,2.3864346037105637,2.3352121841430664,0.1714,14.893116474151611,196,13,26
2,8,42,2.148400245880594,2.022479352760315,0.2402,14.905362129211426,294,13,39
3,8,42,1.9540438603381722,1.896601609802246,0.2931,14.871723890304565,392,13,52
4,8,42,1.8318659590215098,1.730861008644104,0.3511,14.876169681549072,490,13,65
5,8,42,1.682951312892291,1.58553971824646,0.3982,14.886682987213135,588,13,78
6,8,42,1.5856863600867135,1.4945028461456298,0.4364,14.898009061813354,686,13,91
7,8,42,1.4628858700090526,1.673861803817749,0.383,14.909293174743652,784,13,104
8,8,42,1.3975933230653101,1.464882893371582,0.4538,14.8944833278656,882,13,117
9,8,42,1.308225158525973,1.2792788040161134,0.537,14.906221628189087,980,13,130
