epoch,num_virtual_workers,local_steps,seed,train_loss,test_loss,test_acc,epoch_time_sec,samples_seen,batches_seen,averaging_rounds
0,4,2,42,2.6984734510888857,2.388646391296387,0.266,48.1064977645874,50000,98,13
1,4,2,42,1.9549003827328584,1.8654416143417358,0.3129,27.11945152282715,100000,196,26
2,4,2,42,1.6853428458680912,1.8019064222335814,0.3647,27.039128065109253,150000,294,39
3,4,2,42,1.545063124627483,1.684830247116089,0.3839,26.99449849128723,200000,392,52
4,4,2,42,1.4739638530478185,1.4697815662384033,0.4678,26.993668794631958,250000,490,65
5,4,2,42,1.3760749478729404,1.7891434617996216,0.3968,27.019649982452393,300000,588,78
6,4,2,42,1.2972097348193734,1.367045627975464,0.5048,27.099663496017456,350000,686,91
7,4,2,42,1.2365581697347212,1.210754528427124,0.5535,27.05573558807373,400000,784,104
8,4,2,42,1.195416052730716,1.3309364643096924,0.5079,26.990442514419556,450000,882,117
9,4,2,42,1.1645231782173624,1.2098158277511597,0.5589,26.986412525177002,500000,980,130
